102,52,0.551681,0.208447,,8.83728,9.65808,11.9285,0.628262,-0.727375,-0.276065
103,52,0.76351,0.302424,MiRMB,8.45878,9.55776,11.8905,-0.537517,-0.788359,-0.299275
104,53,0.350625,0.119711,,8.14413,10.1506,11.1526,0.416114,-0.156007,-0.89583
105,53,0.22869,0.199947,,7.98913,10.2418,11.2621,-0.717566,0.558397,-0.416282
106,54,0.46003,0.136474,,10.4014,12.2801,11.5192,0.812772,0.0595614,0.579529
107,54,0.477922,0.143204,,10.2099,12.4944,11.3145,-0.0190407,0.954128,-0.298792
108,55,0.945641,0.368773,,9.59428,11.824,10.0388,-0.675098,-0.29895,-0.674442
109,55,1.36684,0.468225,CaRMB,9.94538,12.3165,9.77226,0.0466768,0.513812,-0.856632
110,56,0.408507,0.194783,,7.52853,10.3284,15.3795,-0.424227,-0.602681,0.675875
111,56,0.609692,0.146896,,7.74288,10.5928,15.4795,0.4189,0.463676,0.780722
112,57,0.392004,0.130324,,7.27773,11.3088,14.9274,-0.325762,0.744381,0.582903
113,57,0.323,0.119607,,7.18198,11.1401,14.8036,-0.988235,-0.141176,-0.0588237
114,58,0.210405,0.118078,,7.19113,9.96817,14.2134,0.129749,-0.953686,-0.271383
115,58,0.426219,0.0872519,,7.34163,10.1551,14.1372,0.770262,0.4066,-0.491297
116,59,0.20792,0.187638,,6.66673,9.90432,14.261,-0.789243,-0.614081,0
117,59,0.355786,0.108678,,6.67583,10.073,14.1372,-0.410078,0.589514,-0.695923
118,61,0.809487,0.270774,CrRMB,7.85228,11.7101,13.2565,-0.675984,0.428172,-0.599763
119,61,0.430115,0.158945,,8.25813,11.6417,13.366,0.614952,0.487777,-0.619603
120,62,0.376517,0.105227,,9.17928,12.0794,14.3324,0.460004,0.0725063,0.884951
121,62,0.26006,0.122306,,9.21123,12.0977,14.123,0.911712,0.245328,-0.32954
122,63,0.142694,0.134825,,8.50438,12.4397,14.2276,-0.44711,0.511585,0.73374
123,63,0.753632,0.0783819,,8.74148,12.7087,14.0943,0.544563,0.810741,-0.214826
124,65,0.0498286,0.156356,,13.1055,8.436,15.0749,-0.73251,-0.366054,0.573962
125,65,0.523644,0.128356,,13.2194,8.62296,15.2272,0.365706,0.679241,0.63631
126,66,0.274065,0.13171,,13.5523,7.56504,14.9369,0.931899,-0.232937,0.278038
127,66,0.502627,0.15031,,13.3425,7.36896,14.9654,-0.326484,-0.907234,0.265207
